Description,Asset,Asset Type,Route Name,Source Name,Source Mode,Source Interface,Source Address,Source Protocol,Source Port,S_SSM,Source State,Source BW,Last Update,Destination Name,Destination Protocol,Destination Port,Destination Mode,Destination Interface,Destination IP,Destination BW,Destination State,BW In Total,BW Out Total
SRT-ABC-01-001-1,SRT-ABC-01,Broadcast,001_ABC01_SIMPLE-DSPORTS2_P,DSPORTS2_P,multicast,eno2,239.195.6.6,UDP,8000,10.77.6.6,connected,13.939,07/16/25 11:26,SIMPLE-TV,SRT,3102,caller,eno1,138.185.64.42,13.948,connected,431.57,241.40
SRT-ABC-01-002-1,SRT-ABC-01,Broadcast,002_ABC01_CBC01_INTI-HD_P,RCV1010P,multicast,eno2,239.77.28.10,UDP,8999,10.77.28.10,connection established,0.0,07/16/25 11:26,CBC01,SRT,10034,caller,eno1,10.133.92.150,0.000,disconnected,431.57,241.40
SRT-ABC-01-003-1,SRT-ABC-01,Broadcast,003_ABC-ESPN2_CBC,NAT-ESPN2,multicast,eno2,239.77.16.110,UDP,8999,10.77.22.110,connected,20.429,07/16/25 11:26,ABC_CBC,SRT,10009,caller,,154.197.114.203,0.000,disconnected,431.57,241.40
SRT-ABC-01-004-1,SRT-ABC-01,Broadcast,004_ABC01_CBC01_HBO-HD_P,HBO-HD,multicast,eno2,239.77.16.48,UDP,8999,10.77.22.48,connected,40.858,07/16/25 11:26,ABC_CBC,SRT,10010,caller,eno1,154.197.114.203,0.0,disconnected,431.57,241.40
SRT-ABC-01-004-2,SRT-ABC-01,Broadcast,004_ABC01_CBC01_HBO-HD_P,HBO-HD,,,,,,,,,07/16/25 11:26,CBC01,SRT,10010,caller,eno1,10.133.92.150,40.858,connected,431.57,241.40
SRT-ABC-01-006-1,SRT-ABC-01,Broadcast,006_telecentro_abc01_latina_p,latina_p,listener,eno1,0.0.0.0,SRT,10006,0.0.0.0,disconnected,0.0,07/16/25 11:26,ird,UDP,10000,multicast,eno2,238.77.21.6,0,,431.57,241.40
SRT-ABC-01-007-1,SRT-ABC-01,Broadcast,007_CBC01_ABC01_Escuela Plus HD-Contribution_P,Escuela Plus HD_Contribution,listener,eno1,0.0.0.0,SRT,10016,0.0.0.0,connected,12.259,07/16/25 11:26,lan,UDP,10000,multicast,eno2,238.77.21.77,12.261,connected,431.57,241.40
SRT-ABC-01-008-1,SRT-ABC-01,Broadcast,008_DTV-ECU_ABC01_P,DTV-ECU_P,caller,eno1,200.125.221.108,SRT,8000,0.0.0.0,connected,14.334,07/16/25 11:26,LAN,UDP,10000,multicast,eno2,238.77.21.8,14.187,connected,431.57,241.40
SRT-ABC-01-010-1,SRT-ABC-01,Broadcast,010_CBC_ABC_POC-OCC,CBC-POC-OCC,listener,,0.0.0.0,SRT,10028,0.0.0.0,connecting,0.0,07/16/25 11:26,LAN-IRD-xx,UDP,10000,multicast,,238.77.21.6,0.0,disconnected,431.57,241.40
SRT-ABC-01-011-1,SRT-ABC-01,Broadcast,011_CBC_ABC_TATA CHN1_LiveSports,CHN1_LiveSports,listener,eno1,0.0.0.0,SRT,10018,0.0.0.0,connecting,0.0,07/16/25 11:26,lan,UDP,10000,multicast,eno2,238.77.21.11,0.0,disconnected,431.57,241.40
SRT-ABC-01-012-1,SRT-ABC-01,Broadcast,012_CBC_ABC_TATA CHN2_AD Insertion,CHN2_AD Insertion,listener,eno1,0.0.0.0,SRT,10032,0.0.0.0,connecting,0.0,07/16/25 11:26,lan,UDP,10000,multicast,eno2,238.77.21.12,0.000,disconnected,431.57,241.40
SRT-ABC-01-013-1,SRT-ABC-01,Broadcast,013_COBC02_ABC01_PID-MON-02,COBC02-PID-MON-02,listener,eno1,0.0.0.0,SRT,14005,0.0.0.0,connecting,0.0,07/16/25 11:26,DEC-TOC-02,UDP,10000,multicast,eno2,238.77.21.13,0.0,disconnected,431.57,241.40
SRT-ABC-01-014-1,SRT-ABC-01,Broadcast,014_CBC_ABC_TATA CHN3_PPV,TATA CHN3_PPV,listener,eno1,0.0.0.0,SRT,10033,0.0.0.0,connecting,0.0,07/16/25 11:26,lan,UDP,10000,multicast,eno2,238.77.21.14,0.0,disconnected,431.57,241.40
SRT-ABC-01-016-1,SRT-ABC-01,Broadcast,016_KZO_ABC01_B,KZO-HD,listener,eno1,0.0.0.0,SRT,10013,0.0.0.0,connected,8.139,07/16/25 11:26,LAN,UDP,10000,multicast,eno2,238.77.21.16,8.792,connected,431.57,241.40
SRT-ABC-01-018-1,SRT-ABC-01,Broadcast,018_CBC_ECUAVISA P,CBC SRT A,listener,eno1,0.0.0.0,SRT,10031,0.0.0.0,connecting,0.0,07/16/25 11:26,LAN_FINAL,UDP,10000,multicast,eno2,238.77.21.18,0.000,disconnected,431.57,241.40
SRT-ABC-01-018-2,SRT-ABC-01,Broadcast,018_CBC_ECUAVISA P,CBC SRT A,,,,,,,,,07/16/25 11:26,Video Network,UDP,10090,unicast,eno2,192.168.10.10,0.0,disconnected,431.57,241.40
SRT-ABC-01-019-1,SRT-ABC-01,Broadcast,019_DirecTV Sports Venezuela Primary_Gold Data,DirecTV Sports Venezuela Primary_Gold Data,listener,,0.0.0.0,SRT,10019,0.0.0.0,connecting,0.0,07/16/25 11:26,RCV-1328P,UDP,10000,multicast,eno2,238.77.21.9,0.000,disconnected,431.57,241.40
SRT-ABC-01-024-1,SRT-ABC-01,Broadcast,024_LaRed-Chile_ABC01_P,LaRed-Chile,caller,eno1,45.181.122.34,SRT,9020,0.0.0.0,connected,1.227,07/16/25 11:26,RCV-ABC-1209-P,UDP,10000,multicast,eno2,238.77.21.7,1.227,connected,431.57,241.40
SRT-ABC-01-025-1,SRT-ABC-01,Broadcast,025_LaRedChile-2_ABC,Orivision-SecondaryStream,caller,eno1,45.181.122.33,SRT,7145,0.0.0.0,connecting,0.0,07/16/25 11:26,RCV-ABC-1209-B,UDP,10020,multicast,eno2,238.77.21.25,0.0,disconnected,431.57,241.40
SRT-ABC-01-026-1,SRT-ABC-01,Broadcast,026_TNU_ABC01_P,TNU,caller,eno1,179.27.151.230,SRT,9200,0.0.0.0,connected,10.775,07/16/25 11:26,RCV-ABC-1339,UDP,10000,multicast,eno2,238.77.21.1,10.780,connected,431.57,241.40
SRT-ABC-01-027-1,SRT-ABC-01,Broadcast,027_ABC01_COBC01_TX68-MUX_P,TX-68-MUX,multicast,eno2,239.77.12.89,RTP,5090,10.77.12.89,connected,41.230,07/16/25 11:26,COBC-01,SRT,14068,caller,eno1,191.102.238.101,41.169,disconnected,431.57,241.40
SRT-ABC-01-027-2,SRT-ABC-01,Broadcast,027_ABC01_COBC01_TX68-MUX_P,TX-68-MUX,,,,,,,,,07/16/25 11:26,NEW COBC-01,SRT,14068,caller,eno1,10.177.242.101,0.0,disconnected,431.57,241.40
SRT-ABC-01-028-1,SRT-ABC-01,Broadcast,028_ABC01_COBC01_TX70-MUX_P,TX70-MUX_P,multicast,eno2,239.77.12.1,RTP,5090,10.77.12.1,connected,47.930,07/16/25 11:26,COBC-01-LOWLAT,SRT,14070,caller,eno1,191.102.238.101,0.0,disconnected,431.57,241.40
SRT-ABC-01-028-2,SRT-ABC-01,Broadcast,028_ABC01_COBC01_TX70-MUX_P,TX70-MUX_P,,,,,,,,,07/16/25 11:26,P2P_COBC01,SRT,14070,caller,eno1,10.177.242.101,47.930,disconnected,431.57,241.40
SRT-ABC-01-029-1,SRT-ABC-01,Broadcast,029_TX76-MUXP-ABC_COBC,TX76-MUXP-ABC,multicast,eno2,239.77.12.99,RTP,5090,10.77.12.99,connected,41.230,07/16/25 11:26,COBC-01,SRT,14076,caller,eno1,191.102.238.101,0.0,disconnected,431.57,241.40
